Age,Workclass,Final Weight,Education,Education Number,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per Week,Native Country,Class
0.191781,2,0.202177,0,0.8,4,4,1,4,0,0,0,0.397959,0,0
0.164384,1,0.101882,0,0.8,1,4,2,0,1,0,0,0.704082,0,1
0.082192,2,0.135419,5,0.6,0,7,3,0,1,0,0,0.397959,0,0
0.849315,2,0.076377,5,0.6,1,3,4,0,1,0,0,0.193878,0,0
0.136986,2,0.136942,1,0.533333,0,8,1,0,1,0,0,0.397959,20,0
0.315068,2,0.013535,6,0.733333,1,0,2,0,1,0,0,0.397959,0,0
0.013699,2,0.201946,2,0.4,0,8,1,0,0,0,0,0.214286,0,0
0.191781,4,0.07718,7,0.2,1,6,2,0,1,0,0,0.397959,0,0
0.013699,2,0.295129,1,0.533333,0,4,3,0,1,0,0,0.295918,0,0
0.479452,2,0.179453,0,0.8,1,8,2,0,1,0,0,0.397959,12,0
0.39726,2,0.026713,1,0.533333,1,8,0,0,0,0,0,0.397959,0,0
0.575342,2,0.100278,1,0.533333,1,4,2,0,1,0,0,0.479592,0,0
0.369863,2,0.225008,1,0.533333,2,10,3,0,0,0.143441,0,0.397959,0,1
0.493151,2,0.226816,1,0.533333,2,4,1,0,0,0,0,0.346939,0,0
0.438356,4,0.173829,1,0.533333,1,11,2,0,1,0,0,0.397959,0,1
0.219178,2,0.12888,3,0.866667,1,3,2,0,1,0,0,0.5,0,0
0.178082,2,0.028558,4,0.266667,0,4,3,0,1,0,0,0.397959,0,0
0.356164,3,0.270699,8,1,0,3,3,0,0,0,0,0.5,0,1
0.547945,2,0.161429,9,0.666667,1,3,2,0,1,0,0,0.397959,0,0
0.273973,2,0.18639,5,0.6,2,10,5,0,0,0,0,0.397959,0,0
0.150685,2,0.13602,5,0.6,2,7,5,4,0,0,0,0.244898,0,0
0.232877,4,0.145346,0,0.8,1,11,2,0,1,0,0,0.397959,0,1
0.164384,4,0.070157,5,0.6,0,2,3,0,1,0,0,0.5,0,0
0.424658,1,0.121563,8,1,1,3,2,0,1,0,0.436639,0.602041,0,1
0.273973,2,0.12931,5,0.6,1,4,2,0,1,0,0,0.479592,0,1
0.424658,2,0.107856,6,0.733333,2,1,5,0,0,0,0,0.397959,2,0
0.205479,3,0.161044,1,0.533333,0,8,1,4,1,0,0,0.397959,0,0
0.808219,2,0.076001,3,0.866667,1,1,2,0,1,0,0,0.397959,0,1
0.369863,2,0.126321,0,0.8,1,1,2,0,1,0.150242,0,0.602041,0,1
0.410959,1,0.092929,3,0.866667,0,3,3,0,0,0,0,0.5,0,0
0.041096,2,0.119541,5,0.6,0,9,1,0,0,0,0,0.397959,0,0
0.164384,2,0.061903,1,0.533333,0,10,3,0,1,0,0,0.397959,0,0
0.205479,5,0.207397,1,0.533333,1,10,2,0,1,0.076881,0,0.397959,0,1
0.178082,2,0.124024,2,0.4,0,2,1,0,1,0,0,0.397959,0,0
0.191781,4,0.120197,1,0.533333,0,0,3,0,0,0,0,0.397959,0,0
0.342466,2,0.076342,1,0.533333,1,2,2,0,1,0,0,0.397959,0,0
0.09589,2,0.285307,0,0.8,0,4,4,0,1,0,0,0.397959,0,0
0.287671,2,0.036022,10,0.933333,1,3,2,0,1,0,0,0.397959,0,1
0.534247,1,0.219584,1,0.533333,1,8,2,0,1,0,0.433196,0.5,4,1
0.150685,2,0.248288,5,0.6,1,4,0,0,0,0.04064,0,0.244898,0,0
0.260274,2,0.061517,1,0.533333,0,7,1,0,0,0,0,0.397959,0,0
0.493151,2,0.056616,4,0.266667,1,2,2,0,1,0,0,0.5,0,0
0.534247,5,0.197501,5,0.6,1,4,2,0,1,0,0,0.5,0,0
0.438356,4,0.125702,9,0.666667,1,10,2,4,1,0,0,0.397959,0,1
0.520548,2,0.159783,5,0.6,1,4,2,0,1,0,0,0.561224,0,0
0.068493,2,0.06136,1,0.533333,0,10,3,0,1,0,0,0.408163,0,0
0.054795,2,0.12743,5,0.6,0,8,1,0,0,0,0,0.397959,0,0
0.315068,2,0.072376,0,0.8,1,1,2,0,1,0,0,0.602041,0,0
0.178082,2,0.044049,0,0.8,0,1,1,4,1,0,0,0.397959,5,0
0.164384,0,0.173662,0,0.8,1,3,2,0,1,0,0,0.5,0,1
0.027397,2,0.196494,5,0.6,0,8,1,4,1,0,0,0.346939,0,0
0.410959,2,0.187136,0,0.8,1,1,0,0,0,0,0,0.397959,0,1
0.041096,2,0.067516,5,0.6,0,0,1,0,0,0,0.394628,0.27551,0,0
0.191781,2,0.069717,6,0.733333,1,0,2,0,1,0,0,0.397959,0,1
0.30137,2,0.24005,5,0.6,2,10,3,0,1,0,0,0.397959,0,0
0.150685,2,0.03894,6,0.733333,0,4,3,0,0,0,0,0.602041,0,0
0.09589,2,0.02108,1,0.533333,0,8,3,0,0,0,0.4045,0.397959,0,0
0.287671,1,0.073824,1,0.533333,1,10,2,0,1,0.04386,0,0.346939,0,0
0.273973,2,0.164299,0,0.8,1,4,2,0,1,0,0,0.5,0,0
0.39726,2,0.090946,6,0.733333,2,9,3,4,0,0,0,0.357143,0,0
0.287671,3,0.077184,3,0.866667,1,3,2,0,1,0,0,0.397959,13,1
0.356164,1,0.030314,1,0.533333,1,10,2,0,1,0,0,0.602041,0,0
0.136986,2,0.102445,9,0.666667,1,0,0,0,0,0,0,0.346939,0,0
0.041096,2,0.014958,5,0.6,0,4,1,0,1,0,0,0.193878,0,0
0.438356,2,0.047329,5,0.6,1,10,2,1,1,0,0,0.397959,0,1
0.60274,5,0.036898,1,0.533333,1,10,2,0,1,0,0,0.397959,0,0
0.136986,2,0.149751,5,0.6,0,4,1,0,0,0,0,0.397959,0,0
0.027397,2,0.206859,5,0.6,0,8,1,0,1,0,0,0.295918,20,0
0.383562,2,0.125167,9,0.666667,0,3,3,0,0,0,0.359045,0.397959,0,1
0.726027,2,0.063223,5,0.6,0,9,4,0,1,0,0,0.397959,0,0
0.191781,2,0.117853,1,0.533333,0,5,5,4,0,0,0,0.295918,0,0
0.068493,2,0.110763,5,0.6,1,8,2,0,1,0,0,0.234694,0,0
0.260274,2,0.065204,1,0.533333,6,8,5,0,0,0,0,0.234694,0,0
0.643836,2,0.114741,2,0.4,1,10,2,0,1,0,0.50023,0.397959,0,0
0.410959,4,0.117985,5,0.6,2,0,5,0,0,0,0,0.377551,20,0
0.232877,2,0.126253,1,0.533333,0,0,3,0,0,0,0,0.397959,0,0
0.219178,2,0.102361,0,0.8,0,1,4,1,0,0,0,0.397959,15,0
0.054795,2,0.192793,1,0.533333,0,10,1,0,1,0,0,0.346939,0,0
0.424658,2,0.119144,1,0.533333,1,10,2,0,1,0,0,0.459184,0,0
0.082192,2,0.137364,0,0.8,0,2,3,0,1,0,0,0.397959,0,0
0.739726,1,0.32731,5,0.6,4,4,5,4,1,0,0.416896,0.010204,0,0
0.164384,2,0.121738,1,0.533333,2,10,3,0,1,0,0,0.602041,0,0
0.342466,2,0.146813,0,0.8,4,8,4,4,1,0,0,0.5,0,0
0.109589,2,0.163314,1,0.533333,0,8,5,0,0,0,0,0.397959,0,0
0.369863,5,0.044885,3,0.866667,2,1,5,1,0,0,0,0.397959,0,0
0.150685,2,0.051707,1,0.533333,0,1,3,1,0,0,0,0.397959,2,0
0.383562,1,0.128221,3,0.866667,1,4,2,0,1,0,0,0.397959,0,1
0.260274,2,0.132348,5,0.6,2,8,5,0,0,0,0,0.397959,20,0
0.30137,3,0.151587,6,0.733333,0,1,3,0,1,0,0,0.418367,0,0
0.39726,0,0.061357,3,0.866667,6,11,5,0,1,0,0,0.397959,0,0
0.013699,2,0.009198,2,0.4,0,2,1,0,1,0,0,0.153061,0,0
0.671233,4,0.028892,9,0.666667,6,3,3,0,0,0,0,0.193878,0,0
0.136986,2,0.076519,1,0.533333,0,8,3,0,1,0,0.454545,0.397959,0,0
0.150685,0,0.110729,1,0.533333,1,11,2,0,1,0,0,0.397959,0,0
0.465753,2,0.056897,5,0.6,1,4,2,0,1,0,0.453857,0.397959,0,1
0.136986,2,0.282355,0,0.8,0,10,3,0,1,0,0,0.5,0,0
0.150685,0,0.093274,0,0.8,1,3,2,0,1,0,0,0.397959,0,1
0.136986,2,0.164035,1,0.533333,3,4,5,0,0,0,0,0.244898,0,0
0.054795,2,0.204202,1,0.533333,0,10,1,4,1,0,0,0.397959,0,0
0.232877,2,0.320216,1,0.533333,0,2,3,4,1,0,0,0.397959,0,0
0.013699,2,0.116573,1,0.533333,0,8,1,0,1,0,0,0.112245,0,0
0.219178,2,0.016971,0,0.8,1,3,2,0,1,0,0,0.653061,0,0
0.369863,4,0.114817,5,0.6,1,1,2,4,1,0,0,0.377551,0,1
0.356164,2,0.069474,5,0.6,2,0,3,0,0,0,0,0.397959,0,0
0.178082,2,0.422065,5,0.6,0,10,3,4,1,0,0,0.44898,0,0
0.315068,2,0.186146,7,0.2,1,7,2,0,1,0,0,0.397959,20,1
0.273973,3,0.011389,5,0.6,1,0,2,0,1,0,0,0.418367,0,1
0.232877,2,0.19814,1,0.533333,1,0,2,4,1,0,0,0.397959,0,0
0.328767,1,0.088863,0,0.8,2,1,3,0,0,0,0,0.397959,0,0
0.191781,2,0.059523,3,0.866667,1,3,0,0,0,0,0,0.5,0,0
0.561644,0,0.066069,8,1,1,3,2,0,1,0,0,0,0,1
0.287671,2,0.097076,5,0.6,2,7,3,4,0,0,0,0.27551,0,0
0.09589,2,0.100027,5,0.6,1,7,2,0,1,0,0,0.397959,0,0
0.328767,4,0.347472,0,0.8,1,10,2,4,1,0,0,0.397959,0,0
0.410959,2,0.073793,5,0.6,1,9,2,0,1,0,0,0.44898,0,0
0.328767,3,0.080463,0,0.8,1,9,2,0,1,0,0,0.234694,0,0
0.082192,2,0.125713,11,0.133333,1,5,4,0,1,0,0,0.397959,20,0
0.260274,2,0.059147,5,0.6,2,10,3,0,1,0,0,0.397959,0,0
0.315068,3,0.030229,3,0.866667,0,1,3,0,0,0.140841,0,0.55102,0,1
0.246575,2,0.086054,3,0.866667,1,3,4,0,1,0.072981,0,0.397959,0,1
0.09589,1,0.014015,1,0.533333,0,4,3,0,1,0,0,0.397959,0,0
0.123288,2,0.261496,3,0.866667,0,3,3,0,0,0,0.43067,0.397959,0,0
0.465753,2,0.167777,0,0.8,1,1,2,0,1,0,0,0.5,0,1
0.342466,4,0.164717,5,0.6,0,3,3,0,0,0,0.307622,0.397959,0,0
0.273973,0,0.024399,1,0.533333,2,0,5,0,0,0,0,0.346939,0,0
0.013699,2,0.08685,2,0.4,0,4,1,0,0,0,0,0.397959,0,0
0.260274,2,0.079102,0,0.8,1,8,2,4,1,0.072981,0,0.357143,0,1
0.246575,2,0.01629,1,0.533333,2,10,3,0,1,0,0,0.602041,0,0
0.561644,5,0.134661,1,0.533333,1,4,0,0,0,0.150242,0,0.346939,0,1
0,2,0.036052,2,0.4,0,4,1,0,0,0,0,0.112245,0,0
0.369863,4,0.100962,1,0.533333,1,5,2,4,1,0,0,0.397959,0,0
0.273973,2,0.133164,1,0.533333,1,10,2,0,1,0,0,0.397959,0,1
0.246575,2,0.096104,5,0.6,0,4,3,2,0,0,0,0.397959,0,0
0.589041,2,0.049938,1,0.533333,1,10,2,1,1,0,0,0.397959,0,0
0.506849,5,0.076834,7,0.2,1,7,2,0,1,0,0,0.397959,0,1
0.273973,2,0.423539,0,0.8,0,1,3,4,1,0,0,0.602041,0,1
0.452055,2,0.20445,6,0.733333,2,4,3,0,0,0,0,0.397959,0,0
0.287671,2,0.115676,0,0.8,1,4,2,0,1,0,0,0.5,17,0
0.383562,2,0.065979,0,0.8,1,3,2,0,1,0,0,0.55102,0,0
0.109589,2,0.164844,12,0.333333,0,10,3,0,1,0,0,0.397959,0,0
0.191781,2,0.126034,5,0.6,1,2,2,0,1,0,0,0.397959,0,0
1,2,0.026799,1,0.533333,0,8,3,4,1,0,0.506428,0.397959,0,0
0.506849,2,0.11165,1,0.533333,1,0,2,4,1,0,0,0.193878,0,0
0.493151,4,0.086982,13,0,0,7,3,0,0,0,0,0.346939,0,0
0.013699,2,0.156904,1,0.533333,0,4,1,0,0,0,0,0.397959,0,0
0.671233,1,0.105542,1,0.533333,1,6,2,0,1,0.01409,0,0.5,0,0
0.794521,2,0.205053,9,0.666667,6,0,3,0,0,0,0,0.193878,29,0
0.657534,2,0.111728,1,0.533333,2,0,3,0,0,0,0,0.397959,0,0
0.246575,2,0.357437,2,0.4,4,5,3,4,1,0.03674,0,0.397959,0,0
0.328767,2,0.080224,1,0.533333,2,4,5,4,0,0,0,0.377551,0,0
0.109589,2,0.100139,5,0.6,0,0,3,0,1,0,0,0.418367,0,0
0.219178,2,0.067028,5,0.6,2,10,4,3,0,0,0,0.397959,0,0
0.150685,2,0.043757,10,0.933333,0,3,3,0,1,0,0,0.55102,0,1
0.575342,0,0.174145,1,0.533333,1,8,2,0,1,0,0,0.397959,0,0
0.315068,0,0.107469,5,0.6,0,0,3,0,0,0,0,0.377551,0,0
0.328767,2,0.113998,0,0.8,1,1,2,0,1,0,0,0.5,13,1
0.287671,4,0.069811,3,0.866667,1,1,2,0,1,0,0,0.704082,0,1
0.082192,2,0.07007,1,0.533333,0,5,1,0,1,0,0,0.397959,0,0
0.315068,2,0.227927,0,0.8,1,3,2,0,1,0,0,0.397959,0,1
0.328767,1,0.124771,1,0.533333,1,8,0,0,0,0,0,0.193878,0,0
0.09589,0,0.17768,6,0.733333,1,11,2,0,1,0,0,0.5,0,0
0.287671,2,0.113557,5,0.6,2,10,3,0,1,0,0.399679,0.397959,0,0
0.561644,2,0.152342,1,0.533333,1,0,2,0,1,0,0,0.44898,0,1
0.205479,2,0.116564,1,0.533333,0,8,3,0,0,0,0,0.336735,0,0
0.315068,2,0.132634,6,0.733333,1,9,2,0,1,0,0.453857,0.602041,0,1
0.328767,2,0.06824,10,0.933333,1,3,0,0,0,0,0,0.397959,0,1
0.342466,2,0.257057,0,0.8,1,0,0,4,0,0,0,0.397959,0,0
0.575342,4,0.108015,12,0.333333,6,8,5,4,0,0,0,0.295918,0,0
0.027397,4,0.010253,5,0.6,0,0,1,0,1,0,0,0.397959,0,0
0.561644,2,0.167567,5,0.6,0,5,3,0,1,0,0,0.193878,0,0
0.342466,1,0.19747,1,0.533333,1,6,2,1,1,0,0,0.397959,1,1
0.041096,2,0.071653,1,0.533333,0,8,1,0,0,0,0,0.397959,0,0
0.205479,2,0.108864,1,0.533333,4,8,3,0,0,0,0,0.295918,0,0
0.383562,2,0.119111,9,0.666667,6,1,3,0,0,0,0,0.44898,0,0
0.452055,2,0.130556,7,0.2,2,10,3,0,1,0,0,0.397959,0,0
0.260274,2,0.093558,0,0.8,2,3,1,0,0,0,0,0.397959,0,0
0.383562,2,0.058276,1,0.533333,1,4,2,0,1,0,0,0.602041,0,0
0,2,0.158673,2,0.4,0,8,1,0,1,0,0,0.112245,0,0
0.575342,2,0.090822,5,0.6,1,4,2,0,1,0.04064,0,0.397959,0,0
0.123288,2,0.248596,2,0.4,1,10,2,0,1,0,0,0.397959,0,0
0.273973,5,0.1664,5,0.6,1,1,2,1,1,0,0,0.755102,34,1
0.643836,2,0.006037,1,0.533333,1,1,2,0,1,0,0,0.397959,0,1
0.219178,2,0.117626,0,0.8,0,3,3,0,0,0,0,0.44898,0,0
0.219178,2,0.142568,1,0.533333,1,10,0,0,0,0,0,0.397959,0,1
0.60274,2,0.039107,1,0.533333,1,1,2,0,1,0,0,0.397959,0,1
0,2,0.121552,4,0.266667,0,8,1,0,1,0.01055,0,0.234694,0,0
0.452055,1,0.012475,3,0.866667,1,6,2,0,1,0.02407,0,0.989796,0,0
0.136986,4,0.133674,3,0.866667,0,3,1,0,1,0,0,0.346939,0,0
0.178082,2,0.039453,1,0.533333,2,3,1,0,0,0,0,0.397959,0,0
0.356164,2,0.316281,1,0.533333,1,2,2,4,1,0,0,0.397959,0,0
0.369863,2,0.10774,5,0.6,1,10,2,0,1,0.072981,0,0.397959,0,1
0.246575,2,0.120814,5,0.6,0,1,3,0,0,0,0,0.397959,0,0
0.109589,2,0.123268,5,0.6,0,9,1,0,0,0,0,0.397959,0,0
0.09589,2,0.181461,5,0.6,1,7,0,0,0,0.072981,0,0.479592,0,1
0.068493,2,0.015371,0,0.8,0,3,3,0,0,0,0,0.142857,5,0
0.342466,4,0.058002,5,0.6,1,10,2,0,1,0.051781,0,0.397959,0,1
0.232877,2,0.110789,6,0.733333,2,4,5,4,0,0,0,0.44898,0,0
0.589041,2,0.109802,0,0.8,2,3,3,0,0,0,0,0.418367,0,0
0.054795,2,0.131399,1,0.533333,0,2,1,0,1,0,0,0.397959,0,0
0.547945,3,0.280406,3,0.866667,1,4,2,0,1,0.150242,0,0.397959,0,1
0.328767,2,0.141431,10,0.933333,1,3,2,0,1,0,0,0.602041,0,1
0.452055,2,0.111601,5,0.6,2,8,3,0,1,0,0,0.44898,0,0
0.109589,2,0.244293,0,0.8,0,1,3,0,0,0,0,0.397959,0,0
0.452055,2,0.123334,7,0.2,1,10,2,0,1,0,0,0.397959,26,0
0.260274,2,0.127726,0,0.8,1,3,2,0,1,0,0,0.44898,0,0
0.191781,2,0.078313,1,0.533333,2,3,3,0,0,0,0,0.397959,0,0
0.164384,4,0.141355,0,0.8,0,11,3,0,1,0,0,0.561224,0,0
0.054795,2,0.149173,5,0.6,0,4,1,0,1,0,0,0.44898,0,0
0.136986,2,0.16036,0,0.8,0,9,5,4,0,0,0,0.397959,0,0
0.657534,2,0.067107,1,0.533333,1,5,2,0,1,0,0,0.153061,0,0
0.273973,5,0.030656,0,0.8,2,4,3,0,0,0,0,0.602041,0,0
0.09589,2,0.18055,1,0.533333,0,10,1,0,1,0,0,0.397959,0,0
0.287671,2,0.106752,1,0.533333,2,4,3,0,1,0,0,0.806122,0,0
0.424658,2,0.090995,0,0.8,1,0,2,0,1,0.076881,0,0.397959,0,1
0.054795,2,0.096055,5,0.6,0,8,3,1,0,0,0,0.244898,0,0
0.191781,2,0.139345,1,0.533333,1,5,2,0,1,0,0,0.44898,0,1
0.520548,2,0.153729,1,0.533333,1,4,2,0,1,0.04386,0,0.397959,0,1
0.09589,2,0.197641,5,0.6,1,0,0,1,0,0,0,0.397959,25,0
0.356164,2,0.109368,1,0.533333,2,0,3,0,0,0,0,0.397959,0,0
0.123288,2,0.123375,6,0.733333,0,9,3,0,1,0,0,0.44898,0,0
0.39726,2,0.048082,6,0.733333,0,3,3,0,0,0,0,0.326531,0,0
0.246575,2,0.123287,6,0.733333,1,0,2,0,1,0,0,0.397959,0,1
0.328767,5,0.015418,5,0.6,1,6,2,0,1,0,0,0.540816,0,1
0.123288,2,0.031935,0,0.8,0,4,3,0,1,0,0,0.397959,0,0
0.232877,2,0.088706,3,0.866667,1,1,2,1,1,0.072981,0,0.346939,27,1
0.260274,1,0.131295,0,0.8,2,3,3,4,0,0,0,0.397959,0,1
0.068493,2,0.127282,5,0.6,0,4,1,0,1,0,0,0.142857,0,0
0.09589,2,0.122023,5,0.6,0,7,3,0,1,0,0,0.397959,0,0
0.821918,1,0.085865,5,0.6,1,4,2,0,1,0,0,0.397959,0,0
0.068493,2,0.262698,11,0.133333,1,7,4,0,0,0,0,0.397959,20,0
0.164384,2,0.279046,5,0.6,0,9,3,0,0,0,0,0.397959,0,0
0.616438,2,0.100213,1,0.533333,6,8,3,0,0,0,0,0.234694,0,0
0.30137,1,0.110039,1,0.533333,1,1,2,0,1,0,0,0.397959,0,0
0.356164,2,0.025856,5,0.6,1,10,2,0,1,0,0.340909,0.5,0,0
0.246575,2,0.118054,1,0.533333,2,5,3,0,1,0,0,0.44898,0,0
0.164384,2,0.127746,2,0.4,0,1,3,0,0,0,0,0.397959,0,0
0.808219,1,0.110039,3,0.866667,1,10,2,0,1,0,0,0.091837,0,0
0.630137,1,0.044891,1,0.533333,1,6,2,0,1,0,0,0.44898,0,0
0.356164,2,0.119153,5,0.6,1,3,0,0,0,0,0.433196,0.5,0,1
0.561644,1,0.209781,1,0.533333,1,2,2,0,1,0,0,0.397959,0,0
0.671233,2,0.078535,1,0.533333,0,5,3,0,1,0.0205,0,0.55102,0,0
0.328767,2,0.131946,5,0.6,0,10,3,4,1,0,0,0.44898,0,0
0.123288,2,0.144169,0,0.8,0,0,3,0,1,0,0,0.397959,0,0
0.410959,2,0.113012,9,0.666667,0,8,3,0,1,0,0,0.397959,0,0
0.520548,4,0.058584,12,0.333333,1,0,2,0,1,0,0,0.397959,0,0
0.493151,2,0.156423,1,0.533333,1,5,2,0,1,0,0,0.397959,0,0
0,2,0.175668,11,0.133333,0,8,4,0,1,0,0,0.479592,20,0
0.178082,2,0.055657,1,0.533333,0,10,4,0,1,0,0,0.397959,0,0
0.438356,2,0.040009,3,0.866667,0,3,3,0,1,0,0,0.602041,0,0
0.027397,2,0.062365,1,0.533333,0,4,5,4,1,0,0,0.295918,28,0
0.383562,2,0.169046,1,0.533333,1,8,2,4,1,0,0,0.397959,0,0
0.123288,2,0.056133,6,0.733333,0,4,3,0,1,0,0,0.397959,0,0
0.287671,2,0.193011,9,0.666667,1,10,2,0,1,0.072981,0,0.397959,0,1
0.260274,0,0.072661,1,0.533333,1,11,2,0,1,0.072981,0,0.397959,0,1
0.219178,2,0.049414,1,0.533333,0,6,3,0,1,0,0,0.193878,0,0
0.068493,0,0.190896,5,0.6,0,11,1,4,0,0,0,0.397959,0,0
0.356164,1,0.155941,0,0.8,0,4,3,0,1,0,0,0.418367,0,0
0.534247,2,0.060338,6,0.733333,3,8,3,0,1,0,0,0.244898,13,0
0.191781,2,0.09792,0,0.8,0,3,1,0,1,0,0,0.244898,0,0
0.219178,2,0.071772,0,0.8,1,1,2,0,1,0,0,0.397959,0,1
0.123288,2,0.122232,1,0.533333,1,8,2,0,1,0,0,0.397959,0,0
0.219178,2,0.067289,0,0.8,1,1,2,0,1,0,0,0.397959,0,1
0.39726,4,0.215609,2,0.4,1,5,2,0,1,0,0,0.295918,0,0
0.287671,3,0.05647,1,0.533333,1,0,2,0,1,0,0,0.397959,0,1
0.657534,2,0.101272,2,0.4,6,8,5,3,1,0,0,0.397959,0,0
0.315068,2,0.056943,9,0.666667,1,9,2,0,1,0,0,0.397959,0,1
